aula,resolucion,situacion,coleccion,codigo,asignatura,programa,notas_existentes,con_nota,de_systemactiva,editadas_a_mano,acta_cerrada,conflicto_con_oferta
45,OK,NUEVA,BAC Full EN,ACC 310,Principles of Accounting II,Bachelor of Arts in Accounting,0,0,0,0,0,
46,OK,NUEVA,BBA Full EN,MIS 470,Management Information System,Bachelor of Science in Business Administration,589,486,589,0,0,
47,OK,NUEVA,BAC Full EN,TAX 300,Taxation,Bachelor of Arts in Accounting,141,91,137,1,0,
48,OK,NUEVA,BBA Full EN,LED 381,Executive Leadership,Bachelor of Science in Business Administration,591,446,589,0,0,
49,OK,NUEVA,BAC Full EN,BUS 205,Business Entrepreneurship,Bachelor of Arts in Accounting,0,0,0,0,0,
50,OK,NUEVA,BBA Full EN,STA 460,Advanced Statistics,Bachelor of Science in Business Administration,348,254,340,0,0,
51,OK,NUEVA,BBA Full EN,FIN 220,Finance,Bachelor of Science in Business Administration,16,12,15,1,1,
52,OK,NUEVA,BBA Full EN,BLA 230,Business Law,Bachelor of Science in Business Administration,16,8,16,0,0,
53,OK,NUEVA,BBA Full EN,ENG 440,Professional Writing in Business,Bachelor of Science in Business Administration,339,217,335,0,0,
55,OK,NUEVA,BAC Full EN,BLA 230,Business Law,Bachelor of Arts in Accounting,0,0,0,0,0,
56,OK,NUEVA,BAC Full EN,FIN 245,Corporate Finance,Bachelor of Arts in Accounting,0,0,0,0,0,
57,OK,NUEVA,BAC Full EN,HRM 280,Human Resource Management,Bachelor of Arts in Accounting,135,90,134,0,0,
58,OK,NUEVA,BAC Full EN,STA 104,Statistical Methods,Bachelor of Arts in Accounting,0,0,0,0,0,
59,OK,NUEVA,BAC Full EN,ACC 385,Internal Auditing,Bachelor of Arts in Accounting,135,106,133,0,0,
60,OK,NUEVA,BAC Full EN,ACC 400,Intermediate Financial Accounting II,Bachelor of Arts in Accounting,0,0,0,0,0,
61,OK,NUEVA,BBA Full EN,PMB 270,Project Management,Bachelor of Science in Business Administration,589,505,474,113,0,
63,OK,NUEVA,BBA Full EN,BUS 410,Strategic Administration,Bachelor of Science in Business Administration,594,486,589,0,0,
64,OK,NUEVA,BAC Full EN,ACC 300,Accounting for Decision Makers,Bachelor of Arts in Accounting,136,117,133,0,0,
65,OK,NUEVA,BAC Full EN,ACC 360,Cost Accounting and Analysis,Bachelor of Arts in Accounting,135,103,134,0,0,
66,OK,NUEVA,BBA Full EN,LED 380,Business Leadership,Bachelor of Science in Business Administration,0,0,0,0,0,
67,OK,NUEVA,BBA Full EN,TAX 300,Taxation,Bachelor of Science in Business Administration,584,409,580,0,0,
68,OK,NUEVA,BBA Full EN,BUS 430,Emerging Technologies,Bachelor of Science in Business Administration,346,274,268,34,0,
69,OK,NUEVA,BBA Full EN,BUS 340,E-Business,Bachelor of Science in Business Administration,585,419,585,0,0,
70,OK,NUEVA,BBA Full EN,BUS 400,Organizational Behavior,Bachelor of Science in Business Administration,12,10,12,0,0,
71,OK,NUEVA,BBA Full EN,FIN 390,Financial Planning,Bachelor of Science in Business Administration,12,7,12,0,0,
72,OK,NUEVA,BBA Full EN,MAR 420,International Marketing,Bachelor of Science in Business Administration,350,330,336,2,4,
73,OK,NUEVA,BBA Full EN,CAP 480,Capstone Project,Bachelor of Science in Business Administration,334,130,334,0,0,
75,OK,NUEVA,BAC Full EN,ACC 450,Accounting Capstone Project,Bachelor of Arts in Accounting,73,24,73,0,0,
76,OK,NUEVA,BAC Full EN,FIN 390,Financial Planning,Bachelor of Arts in Accounting,0,0,0,0,0,
78,OK,NUEVA,BAC Full EN,ACC 270,Accounting Information Systems,Bachelor of Arts in Accounting,0,0,0,0,0,
79,OK,NUEVA,BAC Full EN,ACC 440,Auditing,Bachelor of Arts in Accounting,0,0,0,0,0,
80,OK,NUEVA,BAC Full EN,ACC 370,Financial Accounting for Governmental and Nonprofit Organizations,Bachelor of Arts in Accounting,73,50,73,0,0,
81,OK,NUEVA,BAC Full EN,ACC 430,Accounting Analytics,Bachelor of Arts in Accounting,75,66,56,14,0,
82,OK,NUEVA,BAC Full EN,ACC 420,International Accounting,Bachelor of Arts in Accounting,75,69,71,2,2,
83,OK,NUEVA,BAC Full EN,ACC 380,Advanced Issues in Financial Accounting,Bachelor of Arts in Accounting,0,0,0,0,0,
87,OK,NUEVA,MBA Full EN,MBA 500,Business in the Global Economy,Master of Business Administration,134,120,130,0,2,
88,OK,NUEVA,MBA Full EN,MBA 502,Accounting for Decision-Making and Control,Master of Business Administration,131,103,128,0,1,
89,OK,NUEVA,MBA Full EN,MBA 504,Leadership and Organizational Behavior,Master of Business Administration,134,110,130,1,1,
90,OK,NUEVA,MBA Full EN,MBA 503,Marketing for Executives,Master of Business Administration,132,108,130,0,2,
91,OK,NUEVA,MBA Full EN,MBA 501,Business Law and Ethics,Master of Business Administration,135,114,133,1,0,
